y,x,highway,ref,street_count,junction,railway,geometry
40.8232976,-73.9570228,,,3,,,POINT (-73.9570228 40.8232976)
40.8197265,-73.9601312,,,3,,,POINT (-73.9601312 40.8197265)
40.8186803,-73.9610583,traffic_signals,,3,,,POINT (-73.9610583 40.8186803)
40.8180007,-73.9618103,stop,,3,,,POINT (-73.9618103 40.8180007)
40.8069238,-73.9355669,traffic_signals,,4,,,POINT (-73.9355669 40.8069238)
40.80669,-73.9349387,,,3,,,POINT (-73.9349387 40.80669)
40.7576654,-73.9948115,traffic_signals,,4,,,POINT (-73.9948115 40.7576654)
40.784623,-73.9698495,traffic_signals,,3,,,POINT (-73.9698495 40.784623)
40.7244132,-74.0059302,traffic_signals,,3,,,POINT (-74.0059302 40.7244132)
40.8105617,-73.967223,motorway_junction,,3,,,POINT (-73.967223 40.8105617)
40.8176607,-73.9610256,traffic_signals,,4,,,POINT (-73.9610256 40.8176607)
40.715649,-73.977917,,,3,,,POINT (-73.977917 40.715649)
40.7917204,-73.9529787,traffic_signals,,3,,,POINT (-73.9529787 40.7917204)
40.7923773,-73.9641772,traffic_signals,,4,,,POINT (-73.9641772 40.7923773)
40.8203291,-73.9596517,,,3,,,POINT (-73.9596517 40.8203291)
40.7954937,-73.9760092,traffic_signals,,4,,,POINT (-73.9760092 40.7954937)
40.8282864,-73.9348645,,,3,,,POINT (-73.9348645 40.8282864)
40.8158343,-73.9344443,,,3,,,POINT (-73.9344443 40.8158343)
40.814759,-73.9343888,,,3,,,POINT (-73.9343888 40.814759)
40.7942085,-73.9628541,traffic_signals,,3,,,POINT (-73.9628541 40.7942085)
40.7993152,-73.929126,motorway_junction,18,3,,,POINT (-73.929126 40.7993152)
40.8034625,-73.9312143,,,3,,,POINT (-73.9312143 40.8034625)
40.8310238,-73.93598,traffic_signals,,3,,,POINT (-73.93598 40.8310238)
40.8668739,-73.930985,,,3,,,POINT (-73.930985 40.8668739)
40.7143955,-74.0005026,traffic_signals,,3,,,POINT (-74.0005026 40.7143955)
40.8692662,-73.9318334,,,1,,,POINT (-73.9318334 40.8692662)
40.7239092,-74.0075216,,,3,,,POINT (-74.0075216 40.7239092)
40.8039382,-73.9323444,,,4,,,POINT (-73.9323444 40.8039382)
40.7982188,-73.952396,traffic_signals,,3,,,POINT (-73.952396 40.7982188)
40.7602431,-73.9515065,,,3,,,POINT (-73.9515065 40.7602431)
40.8341138,-73.937105,,,4,,,POINT (-73.937105 40.8341138)
40.7024415,-74.0128371,traffic_signals,,4,,,POINT (-74.0128371 40.7024415)
40.8025637,-73.9303673,motorway_junction,17,3,,,POINT (-73.9303673 40.8025637)
40.7923959,-73.9367868,,,3,,,POINT (-73.9367868 40.7923959)
40.834924,-73.9354669,,,3,,,POINT (-73.9354669 40.834924)
40.7472995,-73.9758338,,,4,,,POINT (-73.9758338 40.7472995)
40.74693,-73.9692725,,,3,,,POINT (-73.9692725 40.74693)
40.7374172,-73.974504,motorway_junction,7,3,,,POINT (-73.974504 40.7374172)
40.7369776,-73.9749044,,,3,,,POINT (-73.9749044 40.7369776)
40.806301,-73.9348501,,,3,,,POINT (-73.9348501 40.806301)
40.8179047,-73.9342503,,,3,,,POINT (-73.9342503 40.8179047)
40.8188825,-73.9343644,motorway_junction,22,3,,,POINT (-73.9343644 40.8188825)
40.7904084,-73.9367296,motorway_junction,15,3,,,POINT (-73.9367296 40.7904084)
40.847745,-73.9311661,,,3,,,POINT (-73.9311661 40.847745)
40.7652696,-73.9521462,,,3,,,POINT (-73.9521462 40.7652696)
40.7665323,-73.9510157,,,3,,,POINT (-73.9510157 40.7665323)
40.7566077,-73.9558339,,,3,,,POINT (-73.9558339 40.7566077)
40.8353715,-73.9441039,traffic_signals,,4,,,POINT (-73.9441039 40.8353715)
40.8363811,-73.9445746,traffic_signals,,4,,,POINT (-73.9445746 40.8363811)
40.8370771,-73.9442977,traffic_signals,,4,,,POINT (-73.9442977 40.8370771)
40.8377866,-73.9440172,traffic_signals,,4,,,POINT (-73.9440172 40.8377866)
40.8384634,-73.9437512,traffic_signals,,4,,,POINT (-73.9437512 40.8384634)
40.839174,-73.943465,traffic_signals,,3,,,POINT (-73.943465 40.839174)
40.8401941,-73.9430682,traffic_signals,,4,,,POINT (-73.9430682 40.8401941)
40.8421541,-73.9422847,traffic_signals,,3,,,POINT (-73.9422847 40.8421541)
40.8428216,-73.9420178,traffic_signals,,4,,,POINT (-73.9420178 40.8428216)
40.8434507,-73.9416342,traffic_signals,,4,,,POINT (-73.9416342 40.8434507)
40.8440509,-73.9411456,traffic_signals,,4,,,POINT (-73.9411456 40.8440509)
40.844695,-73.9408022,traffic_signals,,4,,,POINT (-73.9408022 40.844695)
40.8453757,-73.9405244,traffic_signals,,4,,,POINT (-73.9405244 40.8453757)
40.8460446,-73.9402488,traffic_signals,,3,,,POINT (-73.9402488 40.8460446)
40.8465308,-73.9400565,traffic_signals,,3,,,POINT (-73.9400565 40.8465308)
40.8472122,-73.9397798,traffic_signals,,4,,,POINT (-73.9397798 40.8472122)
40.847842,-73.9395229,traffic_signals,,4,,,POINT (-73.9395229 40.847842)
40.8499994,-73.9386521,traffic_signals,,4,,,POINT (-73.9386521 40.8499994)
40.850909,-73.938284,traffic_signals,,4,,,POINT (-73.938284 40.850909)
40.852128,-73.937819,traffic_signals,,4,,,POINT (-73.937819 40.852128)
40.85338,-73.937435,traffic_signals,,3,,,POINT (-73.937435 40.85338)
40.8551136,-73.9369042,traffic_signals,,3,,,POINT (-73.9369042 40.8551136)
40.857109,-73.935602,traffic_signals,,4,,,POINT (-73.935602 40.857109)
40.7116883,-74.0058474,traffic_signals,,3,,,POINT (-74.0058474 40.7116883)
40.7101781,-74.0042431,traffic_signals,,3,,,POINT (-74.0042431 40.7101781)
40.7070101,-74.0064417,,,3,,,POINT (-74.0064417 40.7070101)
40.7063813,-74.0056937,,,4,,,POINT (-74.0056937 40.7063813)
40.7060012,-74.0052076,,,4,,,POINT (-74.0052076 40.7060012)
40.705408,-74.0044743,,,3,,,POINT (-74.0044743 40.705408)
40.7135883,-74.0035657,traffic_signals,,3,,,POINT (-74.0035657 40.7135883)
40.7151561,-74.0021038,traffic_signals,,4,,,POINT (-74.0021038 40.7151561)
40.7157492,-74.0016779,traffic_signals,,4,,,POINT (-74.0016779 40.7157492)
40.7169298,-74.0008126,,,3,,,POINT (-74.0008126 40.7169298)
40.7176217,-74.0002647,,,4,,,POINT (-74.0002647 40.7176217)
40.7180188,-73.9999527,,,4,,,POINT (-73.9999527 40.7180188)
40.718687,-73.9994121,,,3,,,POINT (-73.9994121 40.718687)
40.7189219,-73.9992256,,,3,,,POINT (-73.9992256 40.7189219)
40.7198009,-73.9985059,,,4,,,POINT (-73.9985059 40.7198009)
40.7208288,-73.9976413,traffic_signals,,4,,,POINT (-73.9976413 40.7208288)
40.7152425,-73.9842337,traffic_signals,,4,,,POINT (-73.9842337 40.7152425)
40.7161377,-73.9836386,,,3,,,POINT (-73.9836386 40.7161377)
40.71669,-73.9833893,,,4,,,POINT (-73.9833893 40.71669)
40.7171684,-73.9831408,,,4,,,POINT (-73.9831408 40.7171684)
40.7183141,-73.9825206,traffic_signals,,3,,,POINT (-73.9825206 40.7183141)
40.7194618,-73.9819415,traffic_signals,,4,,,POINT (-73.9819415 40.7194618)
40.7206496,-73.9813453,traffic_signals,,4,,,POINT (-73.9813453 40.7206496)
40.7396764,-73.9909614,,,4,,,POINT (-73.9909614 40.7396764)
40.7410305,-73.9941671,,,4,,,POINT (-73.9941671 40.7410305)
40.7422336,-73.9970019,traffic_signals,,4,,,POINT (-73.9970019 40.7422336)
40.7434291,-73.9998503,traffic_signals,,4,,,POINT (-73.9998503 40.7434291)
40.744639,-74.0027325,,,4,,,POINT (-74.0027325 40.744639)
40.7458171,-74.005534,,,4,,,POINT (-74.005534 40.7458171)
40.7468041,-74.0078822,,,3,,,POINT (-74.0078822 40.7468041)
40.7081724,-74.0166109,,,3,,,POINT (-74.0166109 40.7081724)
40.708457,-74.017398,,,5,,,POINT (-74.017398 40.708457)
40.7435682,-73.9923179,traffic_signals,,4,,,POINT (-73.9923179 40.7435682)
40.744765,-73.9951595,traffic_signals,,4,,,POINT (-73.9951595 40.744765)
40.7459651,-73.9979896,,,4,,,POINT (-73.9979896 40.7459651)
40.747171,-74.0008681,traffic_signals,,4,,,POINT (-74.0008681 40.747171)
40.748355,-74.003684,traffic_signals,,4,,,POINT (-74.003684 40.748355)
40.7502621,-74.0083005,traffic_signals,,4,,,POINT (-74.0083005 40.7502621)
40.8716544,-73.9112343,,,3,,,POINT (-73.9112343 40.8716544)
40.8722414,-73.9126036,traffic_signals,,4,,,POINT (-73.9126036 40.8722414)
40.8123183,-73.9522263,,,3,,,POINT (-73.9522263 40.8123183)
40.81294,-73.95177,,,3,,,POINT (-73.95177 40.81294)
40.813567,-73.951322,,,3,,,POINT (-73.951322 40.813567)
40.814187,-73.95086,,,3,,,POINT (-73.95086 40.814187)
40.8179231,-73.9497399,,,3,,,POINT (-73.9497399 40.8179231)
40.8214914,-73.948539,traffic_signals,,4,,,POINT (-73.948539 40.8214914)
40.714251,-73.9808938,traffic_signals,,3,,,POINT (-73.9808938 40.714251)
40.7135531,-73.9808346,traffic_signals,,4,,,POINT (-73.9808346 40.7135531)
40.7115248,-73.980623,,,3,,,POINT (-73.980623 40.7115248)
40.7636536,-73.9734832,traffic_signals,,4,,,POINT (-73.9734832 40.7636536)
40.7639136,-73.9741072,traffic_signals,,3,,,POINT (-73.9741072 40.7639136)
40.855598,-73.927319,,,3,,,POINT (-73.927319 40.855598)
40.856182,-73.928716,traffic_signals,,4,,,POINT (-73.928716 40.856182)
40.8566083,-73.9297266,,,3,,,POINT (-73.9297266 40.8566083)
40.857841,-73.932043,traffic_signals,,3,,,POINT (-73.932043 40.857841)
40.8581161,-73.932977,,,3,,,POINT (-73.932977 40.8581161)
40.745301,-73.986846,traffic_signals,,4,,,POINT (-73.986846 40.745301)
40.7460483,-73.9886101,traffic_signals,,4,,,POINT (-73.9886101 40.7460483)
40.7466658,-73.9900676,traffic_signals,,4,,,POINT (-73.9900676 40.7466658)
40.7478634,-73.9929048,traffic_signals,,4,,,POINT (-73.9929048 40.7478634)
40.749056,-73.9957286,traffic_signals,,4,,,POINT (-73.9957286 40.749056)
40.7514585,-74.0014183,,,4,,,POINT (-74.0014183 40.7514585)
40.7526648,-74.0042686,,,4,,,POINT (-74.0042686 40.7526648)
40.8134253,-73.9371434,,,3,,,POINT (-73.9371434 40.8134253)
40.8621121,-73.9300037,traffic_signals,,3,,,POINT (-73.9300037 40.8621121)
40.8622107,-73.9296676,,,3,,,POINT (-73.9296676 40.8622107)
40.8626215,-73.9286059,,,3,,,POINT (-73.9286059 40.8626215)
40.862926,-73.927766,traffic_signals,,4,,,POINT (-73.927766 40.862926)
40.863238,-73.926923,traffic_signals,,4,,,POINT (-73.926923 40.863238)
40.8635745,-73.9260124,traffic_signals,,4,,,POINT (-73.9260124 40.8635745)
40.864403,-73.923767,traffic_signals,,4,,,POINT (-73.923767 40.864403)
40.8651,-73.921884,traffic_signals,,4,,,POINT (-73.921884 40.8651)
40.865797,-73.919996,traffic_signals,,4,,,POINT (-73.919996 40.865797)
40.866315,-73.918596,traffic_signals,,4,,,POINT (-73.918596 40.866315)
40.866813,-73.917205,traffic_signals,,3,,,POINT (-73.917205 40.866813)
40.8272063,-73.9424535,traffic_signals,,4,,,POINT (-73.9424535 40.8272063)
40.827823,-73.941997,,,3,,,POINT (-73.941997 40.827823)
40.828447,-73.94154,,,3,,,POINT (-73.94154 40.828447)
40.829083,-73.941078,,,3,,,POINT (-73.941078 40.829083)
40.8302773,-73.9402064,traffic_signals,,4,,,POINT (-73.9402064 40.8302773)
40.7820388,-73.9717224,traffic_signals,,4,,,POINT (-73.9717224 40.7820388)
40.8745523,-73.9096352,traffic_signals,,4,,,POINT (-73.9096352 40.8745523)
40.8746713,-73.9110993,,,3,,,POINT (-73.9110993 40.8746713)
40.8750497,-73.9122655,,,3,,,POINT (-73.9122655 40.8750497)
40.8756706,-73.9128004,,,3,,,POINT (-73.9128004 40.8756706)
40.7045596,-74.0094849,,,4,,,POINT (-74.0094849 40.7045596)
40.7599137,-73.9588108,traffic_signals,,4,,,POINT (-73.9588108 40.7599137)
40.7605391,-73.9583585,traffic_signals,,4,,,POINT (-73.9583585 40.7605391)
40.7611816,-73.9579018,traffic_signals,,5,,,POINT (-73.9579018 40.7611816)
40.7617963,-73.9574532,traffic_signals,,3,,,POINT (-73.9574532 40.7617963)
40.7624248,-73.9569931,traffic_signals,,3,,,POINT (-73.9569931 40.7624248)
40.7630517,-73.9565342,traffic_signals,,3,,,POINT (-73.9565342 40.7630517)
40.7636731,-73.9560793,traffic_signals,,3,,,POINT (-73.9560793 40.7636731)
40.7642988,-73.9556211,traffic_signals,,4,,,POINT (-73.9556211 40.7642988)
40.7649207,-73.9551666,traffic_signals,,3,,,POINT (-73.9551666 40.7649207)
40.7655447,-73.9547105,traffic_signals,,4,,,POINT (-73.9547105 40.7655447)
40.7661832,-73.9542439,traffic_signals,,4,,,POINT (-73.9542439 40.7661832)
40.7668593,-73.9537482,traffic_signals,,4,,,POINT (-73.9537482 40.7668593)
40.7675409,-73.9532494,traffic_signals,,4,,,POINT (-73.9532494 40.7675409)
40.7681722,-73.9527922,traffic_signals,,4,,,POINT (-73.9527922 40.7681722)
40.768811,-73.9523297,traffic_signals,,4,,,POINT (-73.9523297 40.768811)
40.7694509,-73.9518664,traffic_signals,,4,,,POINT (-73.9518664 40.7694509)
40.770088,-73.951405,traffic_signals,,4,,,POINT (-73.951405 40.770088)
40.7707171,-73.950941,traffic_signals,,4,,,POINT (-73.950941 40.7707171)
40.771399,-73.9504381,traffic_signals,,4,,,POINT (-73.9504381 40.771399)
40.7720762,-73.9499354,traffic_signals,,4,,,POINT (-73.9499354 40.7720762)
40.7727093,-73.9494733,traffic_signals,,4,,,POINT (-73.9494733 40.7727093)
40.7733435,-73.9490103,traffic_signals,,4,,,POINT (-73.9490103 40.7733435)
40.7739755,-73.9485489,traffic_signals,,4,,,POINT (-73.9485489 40.7739755)
40.7746144,-73.9480825,traffic_signals,,4,,,POINT (-73.9480825 40.7746144)
40.775245,-73.9476222,traffic_signals,,4,,,POINT (-73.9476222 40.775245)
40.775932,-73.9471206,traffic_signals,,4,,,POINT (-73.9471206 40.775932)
40.7766022,-73.9466326,traffic_signals,,4,,,POINT (-73.9466326 40.7766022)
40.7772288,-73.9461764,traffic_signals,,4,,,POINT (-73.9461764 40.7772288)
40.777874,-73.9457066,traffic_signals,,4,,,POINT (-73.9457066 40.777874)
40.7784878,-73.9452597,traffic_signals,,4,,,POINT (-73.9452597 40.7784878)
40.779149,-73.944779,traffic_signals,,3,,,POINT (-73.944779 40.779149)
40.7797423,-73.9442883,traffic_signals,,4,,,POINT (-73.9442883 40.7797423)
40.7812798,-73.9759984,traffic_signals,,3,,,POINT (-73.9759984 40.7812798)
40.7824641,-73.9788209,traffic_signals,,4,,,POINT (-73.9788209 40.7824641)
40.7832069,-73.9805809,traffic_signals,,4,,,POINT (-73.9805809 40.7832069)
40.7836663,-73.9816706,traffic_signals,,4,,,POINT (-73.9816706 40.7836663)
40.7843551,-73.9832997,traffic_signals,,3,,,POINT (-73.9832997 40.7843551)
40.8474296,-73.9313968,traffic_signals,,3,,,POINT (-73.9313968 40.8474296)
40.848038,-73.932849,traffic_signals,,4,,,POINT (-73.932849 40.848038)
40.848626,-73.934239,traffic_signals,,4,,,POINT (-73.934239 40.848626)
40.8491457,-73.9354726,traffic_signals,,4,,,POINT (-73.9354726 40.8491457)
40.849541,-73.936397,traffic_signals,,4,,,POINT (-73.936397 40.849541)
40.8501945,-73.9396343,,,4,,,POINT (-73.9396343 40.8501945)
40.8503859,-73.9405973,stop,,3,,,POINT (-73.9405973 40.8503859)
40.8482164,-73.94141,,,3,,,POINT (-73.94141 40.8482164)
40.8513403,-73.9402682,,,3,,,POINT (-73.9402682 40.8513403)
40.854677,-73.938652,,,3,,,POINT (-73.938652 40.854677)
40.8556073,-73.937921,traffic_signals,,4,,,POINT (-73.937921 40.8556073)
40.8573519,-73.936584,,,3,,,POINT (-73.936584 40.8573519)
40.7378047,-73.9901393,traffic_signals,,3,,,POINT (-73.9901393 40.7378047)
40.7384929,-73.9899534,traffic_signals,,4,,,POINT (-73.9899534 40.7384929)
40.7391688,-73.9897506,,,4,,,POINT (-73.9897506 40.7391688)
40.7398722,-73.9895636,,,4,,,POINT (-73.9895636 40.7398722)
40.7406193,-73.9894421,traffic_signals,,4,,,POINT (-73.9894421 40.7406193)
40.7413643,-73.9891378,traffic_signals,,4,,,POINT (-73.9891378 40.7413643)
40.7422186,-73.9891071,traffic_signals,,3,,,POINT (-73.9891071 40.7422186)
40.7430428,-73.9891631,traffic_signals,,3,,,POINT (-73.9891631 40.7430428)
40.7445363,-73.9888917,traffic_signals,,3,,,POINT (-73.9888917 40.7445363)
40.7452886,-73.9887531,traffic_signals,,4,,,POINT (-73.9887531 40.7452886)
40.7467961,-73.9884727,traffic_signals,,4,,,POINT (-73.9884727 40.7467961)
40.7475458,-73.9883326,traffic_signals,,4,,,POINT (-73.9883326 40.7475458)
40.7506824,-73.9878205,traffic_signals,,3,,,POINT (-73.9878205 40.7506824)
40.751444,-73.9876732,traffic_signals,,4,,,POINT (-73.9876732 40.751444)
40.7521844,-73.9875229,traffic_signals,,4,,,POINT (-73.9875229 40.7521844)
40.7528837,-73.9873365,traffic_signals,,4,,,POINT (-73.9873365 40.7528837)
40.7536222,-73.9870696,traffic_signals,,3,,,POINT (-73.9870696 40.7536222)
40.7543353,-73.9868976,traffic_signals,,3,,,POINT (-73.9868976 40.7543353)
40.7550539,-73.9866712,traffic_signals,,4,,,POINT (-73.9866712 40.7550539)
40.7558193,-73.9864249,traffic_signals,,3,,,POINT (-73.9864249 40.7558193)
40.7579634,-73.9855335,traffic_signals,,4,,,POINT (-73.9855335 40.7579634)
40.759438,-73.9851371,traffic_signals,,3,,,POINT (-73.9851371 40.759438)
40.7601131,-73.9848206,traffic_signals,,4,,,POINT (-73.9848206 40.7601131)
40.760804,-73.9845206,traffic_signals,,4,,,POINT (-73.9845206 40.760804)
40.7614503,-73.9840983,traffic_signals,,4,,,POINT (-73.9840983 40.7614503)
40.7620858,-73.9836782,traffic_signals,,4,,,POINT (-73.9836782 40.7620858)
40.7627381,-73.9832608,traffic_signals,,4,,,POINT (-73.9832608 40.7627381)
40.763382,-73.9829033,traffic_signals,,4,,,POINT (-73.9829033 40.763382)
